Language,Mean_Expansion_Rate,Median_Expansion_Rate,Interpretation
mya_Mymr,8.4735,8.2368,Dài bằng 847.3% tiếng Anh
mal_Mlym,7.1864,7.05,Dài bằng 718.6% tiếng Anh
kan_Knda,7.1141,6.8,Dài bằng 711.4% tiếng Anh
tel_Telu,6.7815,6.625,Dài bằng 678.1% tiếng Anh
nep_Deva,4.73,4.6,Dài bằng 473.0% tiếng Anh
mar_Deva,4.3832,4.2857,Dài bằng 438.3% tiếng Anh
tha_Thai,3.8241,3.6957,Dài bằng 382.4% tiếng Anh
hin_Deva,3.781,3.7429,Dài bằng 378.1% tiếng Anh
kek_Latn,2.5993,2.4138,Dài bằng 259.9% tiếng Anh
pes_Arab,2.4658,2.36,Dài bằng 246.6% tiếng Anh
zho_Hani,2.3767,2.3333,Dài bằng 237.7% tiếng Anh
vie_Latn,2.1187,2.087,Dài bằng 211.9% tiếng Anh
heb_Hebr,2.1005,2.0465,Dài bằng 210.1% tiếng Anh
guj_Gujr,2.0535,0.0,Dài bằng 205.4% tiếng Anh
som_Latn,2.0181,1.9231,Dài bằng 201.8% tiếng Anh
jap_Hira,1.9666,1.9268,Dài bằng 196.7% tiếng Anh
ojb_Cans,1.9523,0.0,Dài bằng 195.2% tiếng Anh
plt_Latn,1.9116,1.7917,Dài bằng 191.2% tiếng Anh
kor_Hang,1.8565,1.8182,Dài bằng 185.7% tiếng Anh
sqi_Latn,1.7984,1.76,Dài bằng 179.8% tiếng Anh
mri_Latn,1.7804,1.76,Dài bằng 178.0% tiếng Anh
fil_Latn,1.775,1.75,Dài bằng 177.5% tiếng Anh
rus_Cyrl,1.7638,1.7347,Dài bằng 176.4% tiếng Anh
isl_Latn,1.7627,1.75,Dài bằng 176.3% tiếng Anh
hun_Latn,1.7214,1.6993,Dài bằng 172.1% tiếng Anh
slk_Latn,1.6782,1.6481,Dài bằng 167.8% tiếng Anh
ron_Latn,1.6771,1.65,Dài bằng 167.7% tiếng Anh
pck_Latn,1.6406,1.5625,Dài bằng 164.1% tiếng Anh
fin_Latn,1.6358,1.6111,Dài bằng 163.6% tiếng Anh
xho_Latn,1.6321,1.6,Dài bằng 163.2% tiếng Anh
sna_Latn,1.6048,1.5714,Dài bằng 160.5% tiếng Anh
lit_Latn,1.592,1.5789,Dài bằng 159.2% tiếng Anh
slv_Latn,1.5302,1.4615,Dài bằng 153.0% tiếng Anh
pol_Latn,1.5171,1.5,Dài bằng 151.7% tiếng Anh
tur_Latn,1.5068,1.4737,Dài bằng 150.7% tiếng Anh
epo_Latn,1.4779,1.4651,Dài bằng 147.8% tiếng Anh
swe_Latn,1.4609,1.4375,Dài bằng 146.1% tiếng Anh
hye_Armn,1.4399,0.0,Dài bằng 144.0% tiếng Anh
ind_Latn,1.4128,1.3864,Dài bằng 141.3% tiếng Anh
hrv_Latn,1.391,1.3714,Dài bằng 139.1% tiếng Anh
fra_Latn,1.3483,1.325,Dài bằng 134.8% tiếng Anh
nld_Latn,1.3428,1.303,Dài bằng 134.3% tiếng Anh
srp_Latn,1.3244,1.3095,Dài bằng 132.4% tiếng Anh
nor_Latn,1.288,1.2571,Dài bằng 128.8% tiếng Anh
por_Latn,1.267,1.25,Dài bằng 126.7% tiếng Anh
syr_Syrc,1.2169,0.0,Dài bằng 121.7% tiếng Anh
ita_Latn,1.2139,1.2025,Dài bằng 121.4% tiếng Anh
spa_Latn,1.187,1.1757,Dài bằng 118.7% tiếng Anh
lat_Latn,1.0429,1.0476,Dài bằng 104.3% tiếng Anh
eng_Latn,1.0,1.0,Dài bằng 100.0% tiếng Anh
mam_Latn,0.9063,0.0,Dài bằng 90.6% tiếng Anh
kbh_Latn,0.839,0.0,Dài bằng 83.9% tiếng Anh
usp_Latn,0.8277,0.0,Dài bằng 82.8% tiếng Anh
jak_Latn,0.8042,0.0,Dài bằng 80.4% tiếng Anh
quc_Latn,0.7799,0.0,Dài bằng 78.0% tiếng Anh
gbi_Latn,0.7488,0.0,Dài bằng 74.9% tiếng Anh
nhg_Latn,0.6631,0.0,Dài bằng 66.3% tiếng Anh
ppk_Latn,0.6587,0.0,Dài bằng 65.9% tiếng Anh
kab_Latn,0.6381,0.0,Dài bằng 63.8% tiếng Anh
shi_Latn,0.6061,0.0,Dài bằng 60.6% tiếng Anh
ukr_Cyrl,0.535,0.0,Dài bằng 53.5% tiếng Anh
wal_Latn,0.5076,0.0,Dài bằng 50.8% tiếng Anh
lav_Latn,0.4748,0.0,Dài bằng 47.5% tiếng Anh
jiv_Latn,0.4621,0.0,Dài bằng 46.2% tiếng Anh
est_Latn,0.4595,0.0435,Dài bằng 45.9% tiếng Anh
quw_Latn,0.4486,0.0,Dài bằng 44.9% tiếng Anh
ssw_Latn,0.4454,0.0,Dài bằng 44.5% tiếng Anh
eus_Latn,0.4413,0.0,Dài bằng 44.1% tiếng Anh
wol_Latn,0.4408,0.0,Dài bằng 44.1% tiếng Anh
rom_Latn,0.4286,0.0,Dài bằng 42.9% tiếng Anh
zul_Latn,0.4164,0.0,Dài bằng 41.6% tiếng Anh
glv_Latn,0.2344,0.0,Dài bằng 23.4% tiếng Anh
tmh_Latn,0.2051,0.0,Dài bằng 20.5% tiếng Anh
pot_Latn,0.1521,0.0,Dài bằng 15.2% tiếng Anh
gla_Latn,0.0393,0.0,Dài bằng 3.9% tiếng Anh
