Language,Min,Max,Mean,Median,Q1,Q3,Outliers_Count
eng_Latn,3,132,31.89,30.0,21.0,40.0,823
epo_Latn,4,174,46.58,43.0,31.0,58.0,940
est_Latn,0,144,12.79,1.0,1.0,23.0,3361
eus_Latn,0,138,12.08,0.0,0.0,20.0,5975
fil_Latn,6,188,55.54,52.0,38.0,69.0,922
fin_Latn,0,295,51.06,48.0,34.0,64.0,831
fra_Latn,6,146,42.26,39.0,29.0,53.0,884
gbi_Latn,0,3152,20.17,0.0,0.0,19.0,12685
gla_Latn,0,109,1.06,0.0,0.0,0.0,1347
glv_Latn,0,186,6.48,0.0,0.0,0.0,7950
guj_Gujr,0,765,56.14,0.0,0.0,71.0,10018
heb_Hebr,5,230,65.45,62.0,44.0,82.0,634
hin_Deva,0,375,117.79,110.0,80.0,148.0,870
hrv_Latn,0,157,43.51,40.0,29.0,54.0,968
hun_Latn,0,184,53.82,50.0,36.0,67.0,958
hye_Armn,0,1022,41.34,0.0,0.0,0.0,12981
ind_Latn,0,608,43.89,41.0,28.0,57.0,1102
isl_Latn,0,204,55.46,51.0,37.0,70.0,929
ita_Latn,0,156,38.06,36.0,25.0,48.0,886
jak_Latn,0,298,21.85,0.0,0.0,29.0,9422
jap_Hira,0,230,61.25,57.0,42.0,77.0,898
jiv_Latn,0,317,12.56,0.0,0.0,0.0,13060
kab_Latn,0,236,17.41,0.0,0.0,26.0,7391
kan_Knda,0,954,218.85,202.0,146.0,274.0,1327
kbh_Latn,0,5947,21.6,0.0,0.0,0.0,10907
kek_Latn,5,362,79.49,73.0,53.0,98.0,1701
kor_Hang,0,185,57.79,54.0,40.0,72.0,1108
lat_Latn,0,127,32.78,31.0,22.0,42.0,863
lav_Latn,0,144,12.91,0.0,0.0,22.0,5504
lit_Latn,0,179,49.5,46.0,34.0,62.0,850
mal_Mlym,0,795,220.89,205.0,148.0,281.0,975
mam_Latn,0,393,24.58,0.0,0.0,28.0,10912
mar_Deva,0,723,136.51,127.0,90.0,174.0,1247
mri_Latn,5,239,55.96,52.0,38.0,70.0,922
mya_Mymr,0,1432,259.45,242.0,177.0,326.0,1130
nep_Deva,0,793,146.82,136.0,97.0,186.0,1341
nhg_Latn,0,321,18.12,0.0,0.0,24.0,9198
nld_Latn,0,449,40.73,38.0,26.0,53.0,1383
nor_Latn,0,194,40.32,37.0,27.0,50.0,1119
ojb_Cans,0,1033,53.36,0.0,0.0,0.0,13408
pck_Latn,0,241,50.7,47.0,34.0,63.0,1357
pes_Arab,0,338,76.77,70.0,51.0,96.0,1436
plt_Latn,0,282,59.25,55.0,39.0,74.0,1417
pol_Latn,0,174,46.76,44.0,32.0,59.0,934
por_Latn,0,162,39.76,37.0,27.0,50.0,857
pot_Latn,0,158,4.25,0.0,0.0,0.0,4143
ppk_Latn,0,449,17.82,0.0,0.0,21.0,10515
quc_Latn,0,319,21.25,0.0,0.0,31.0,7866
quw_Latn,0,130,12.25,0.0,0.0,20.0,6210
rom_Latn,0,175,11.76,0.0,0.0,18.0,7112
ron_Latn,6,174,52.41,49.0,36.0,66.0,782
rus_Cyrl,6,187,55.16,51.0,38.0,69.0,972
shi_Latn,0,200,16.56,0.0,0.0,24.0,7990
slk_Latn,0,201,52.67,49.0,35.0,66.0,944
slv_Latn,3,207,47.82,44.0,32.0,60.0,1289
sna_Latn,0,185,50.21,47.0,34.0,63.0,909
som_Latn,2,274,63.12,57.0,42.0,79.0,1432
spa_Latn,0,135,37.47,35.0,25.0,47.0,816
sqi_Latn,6,202,55.81,52.0,38.0,70.0,786
srp_Latn,0,330,41.44,39.0,28.0,52.0,814
ssw_Latn,0,167,12.2,0.0,0.0,18.0,7856
swe_Latn,0,160,45.71,43.0,31.0,58.0,776
syr_Syrc,0,527,33.27,0.0,0.0,54.0,6359
tel_Telu,0,755,210.14,195.0,142.0,263.0,1116
tha_Thai,0,436,119.19,111.0,80.0,150.0,954
tmh_Latn,0,342,6.01,0.0,0.0,0.0,5520
tur_Latn,0,352,46.88,44.0,31.0,60.0,1121
ukr_Cyrl,0,164,14.69,0.0,0.0,24.0,6172
usp_Latn,0,313,22.39,0.0,0.0,32.0,8152
vie_Latn,7,224,65.97,61.0,45.0,82.0,1072
wal_Latn,0,186,13.85,0.0,0.0,17.0,10619
wol_Latn,0,180,12.06,0.0,0.0,19.0,6863
xho_Latn,5,194,51.02,48.0,34.0,64.0,735
zho_Hani,0,244,74.41,69.0,50.0,94.0,884
zul_Latn,0,140,11.43,0.0,0.0,18.0,6779
