Language,Mean_Expansion_Rate,Median_Expansion_Rate,Interpretation
shn_Mymr,15.3261,15.0588,Dài bằng 1532.6% tiếng Anh
sat_Olck,12.9706,12.8333,Dài bằng 1297.1% tiếng Anh
ory_Orya,12.6185,12.4375,Dài bằng 1261.8% tiếng Anh
dzo_Tibt,12.5308,12.2333,Dài bằng 1253.1% tiếng Anh
mya_Mymr,11.8321,11.6471,Dài bằng 1183.2% tiếng Anh
bod_Tibt,11.3749,11.2692,Dài bằng 1137.5% tiếng Anh
taq_Tfng,10.2904,10.0417,Dài bằng 1029.0% tiếng Anh
tzm_Tfng,10.1331,10.0455,Dài bằng 1013.3% tiếng Anh
hye_Armn,10.025,9.8571,Dài bằng 1002.5% tiếng Anh
kat_Geor,9.9158,9.75,Dài bằng 991.6% tiếng Anh
lao_Laoo,9.7357,9.6364,Dài bằng 973.6% tiếng Anh
mal_Mlym,9.0535,8.9545,Dài bằng 905.3% tiếng Anh
kan_Knda,8.9858,8.8462,Dài bằng 898.6% tiếng Anh
khm_Khmr,8.9478,8.8571,Dài bằng 894.8% tiếng Anh
sin_Sinh,8.8808,8.7917,Dài bằng 888.1% tiếng Anh
tel_Telu,8.437,8.3,Dài bằng 843.7% tiếng Anh
pan_Guru,7.9363,7.8636,Dài bằng 793.6% tiếng Anh
tir_Ethi,7.8989,7.7895,Dài bằng 789.9% tiếng Anh
amh_Ethi,7.7743,7.6786,Dài bằng 777.4% tiếng Anh
guj_Gujr,7.7594,7.6364,Dài bằng 775.9% tiếng Anh
tam_Taml,7.7445,7.625,Dài bằng 774.4% tiếng Anh
mni_Beng,6.7991,6.6471,Dài bằng 679.9% tiếng Anh
asm_Beng,6.2661,6.1842,Dài bằng 626.6% tiếng Anh
ben_Beng,5.8919,5.8056,Dài bằng 589.2% tiếng Anh
ydd_Hebr,5.5919,5.5556,Dài bằng 559.2% tiếng Anh
uig_Arab,5.2325,5.1556,Dài bằng 523.2% tiếng Anh
ell_Grek,5.198,5.125,Dài bằng 519.8% tiếng Anh
mar_Deva,5.1044,5.0,Dài bằng 510.4% tiếng Anh
san_Deva,5.0404,5.0,Dài bằng 504.0% tiếng Anh
mai_Deva,4.9444,4.8696,Dài bằng 494.4% tiếng Anh
ckb_Arab,4.8479,4.7931,Dài bằng 484.8% tiếng Anh
npi_Deva,4.8424,4.7826,Dài bằng 484.2% tiếng Anh
hin_Deva,4.8341,4.7857,Dài bằng 483.4% tiếng Anh
kbp_Latn,4.8235,4.6667,Dài bằng 482.3% tiếng Anh
awa_Deva,4.8145,4.76,Dài bằng 481.4% tiếng Anh
mag_Deva,4.7388,4.6944,Dài bằng 473.9% tiếng Anh
hne_Deva,4.73,4.7,Dài bằng 473.0% tiếng Anh
kas_Deva,4.7291,4.6875,Dài bằng 472.9% tiếng Anh
bho_Deva,4.72,4.6207,Dài bằng 472.0% tiếng Anh
kas_Arab,4.6475,4.5909,Dài bằng 464.7% tiếng Anh
urd_Arab,4.4288,4.375,Dài bằng 442.9% tiếng Anh
tha_Thai,4.3898,4.3158,Dài bằng 439.0% tiếng Anh
bak_Cyrl,4.3085,4.25,Dài bằng 430.8% tiếng Anh
nus_Latn,4.0249,3.9583,Dài bằng 402.5% tiếng Anh
snd_Arab,4.0216,4.0,Dài bằng 402.2% tiếng Anh
min_Arab,3.9897,3.9545,Dài bằng 399.0% tiếng Anh
pbt_Arab,3.8478,3.8,Dài bằng 384.8% tiếng Anh
kaz_Cyrl,3.8245,3.7778,Dài bằng 382.5% tiếng Anh
bjn_Arab,3.8223,3.7667,Dài bằng 382.2% tiếng Anh
khk_Cyrl,3.8088,3.7143,Dài bằng 380.9% tiếng Anh
ace_Arab,3.796,3.7368,Dài bằng 379.6% tiếng Anh
tat_Cyrl,3.7769,3.7097,Dài bằng 377.7% tiếng Anh
fon_Latn,3.7267,3.5758,Dài bằng 372.7% tiếng Anh
heb_Hebr,3.6847,3.6538,Dài bằng 368.5% tiếng Anh
tgk_Cyrl,3.6731,3.6316,Dài bằng 367.3% tiếng Anh
knc_Arab,3.6538,3.55,Dài bằng 365.4% tiếng Anh
bel_Cyrl,3.5826,3.4762,Dài bằng 358.3% tiếng Anh
kir_Cyrl,3.5468,3.4583,Dài bằng 354.7% tiếng Anh
azb_Arab,3.3584,3.3125,Dài bằng 335.8% tiếng Anh
kik_Latn,3.3312,3.2353,Dài bằng 333.1% tiếng Anh
pes_Arab,3.3159,3.2692,Dài bằng 331.6% tiếng Anh
prs_Arab,3.1884,3.1481,Dài bằng 318.8% tiếng Anh
ars_Arab,3.0589,3.0263,Dài bằng 305.9% tiếng Anh
arb_Arab,3.0546,3.0,Dài bằng 305.5% tiếng Anh
acq_Arab,3.0261,3.0,Dài bằng 302.6% tiếng Anh
ukr_Cyrl,3.0062,2.9444,Dài bằng 300.6% tiếng Anh
acm_Arab,3.0035,2.9643,Dài bằng 300.4% tiếng Anh
arz_Arab,2.9849,2.9333,Dài bằng 298.5% tiếng Anh
yor_Latn,2.9804,2.9487,Dài bằng 298.0% tiếng Anh
ary_Arab,2.98,2.9333,Dài bằng 298.0% tiếng Anh
aeb_Arab,2.9424,2.9062,Dài bằng 294.2% tiếng Anh
srp_Cyrl,2.9363,2.9048,Dài bằng 293.6% tiếng Anh
ajp_Arab,2.8542,2.8293,Dài bằng 285.4% tiếng Anh
apc_Arab,2.8477,2.8182,Dài bằng 284.8% tiếng Anh
ewe_Latn,2.7955,2.7,Dài bằng 279.6% tiếng Anh
mkd_Cyrl,2.7878,2.7407,Dài bằng 278.8% tiếng Anh
aka_Latn,2.7168,2.6316,Dài bằng 271.7% tiếng Anh
azj_Latn,2.6814,2.6316,Dài bằng 268.1% tiếng Anh
bul_Cyrl,2.6571,2.625,Dài bằng 265.7% tiếng Anh
tum_Latn,2.6054,2.525,Dài bằng 260.5% tiếng Anh
bam_Latn,2.5964,2.5333,Dài bằng 259.6% tiếng Anh
twi_Latn,2.5529,2.4615,Dài bằng 255.3% tiếng Anh
rus_Cyrl,2.5029,2.4545,Dài bằng 250.3% tiếng Anh
kab_Latn,2.4909,2.4545,Dài bằng 249.1% tiếng Anh
vie_Latn,2.4742,2.4412,Dài bằng 247.4% tiếng Anh
arb_Latn,2.4719,2.4359,Dài bằng 247.2% tiếng Anh
ibo_Latn,2.4683,2.4167,Dài bằng 246.8% tiếng Anh
gla_Latn,2.4503,2.4074,Dài bằng 245.0% tiếng Anh
mlt_Latn,2.4357,2.381,Dài bằng 243.6% tiếng Anh
tuk_Latn,2.4226,2.4,Dài bằng 242.3% tiếng Anh
knc_Latn,2.4074,2.325,Dài bằng 240.7% tiếng Anh
kor_Hang,2.398,2.3448,Dài bằng 239.8% tiếng Anh
kac_Latn,2.3848,2.3182,Dài bằng 238.5% tiếng Anh
mri_Latn,2.3814,2.35,Dài bằng 238.1% tiếng Anh
lvs_Latn,2.3773,2.3478,Dài bằng 237.7% tiếng Anh
gle_Latn,2.3571,2.32,Dài bằng 235.7% tiếng Anh
gaz_Latn,2.3459,2.3,Dài bằng 234.6% tiếng Anh
mos_Latn,2.3432,2.2903,Dài bằng 234.3% tiếng Anh
tsn_Latn,2.3194,2.2857,Dài bằng 231.9% tiếng Anh
smo_Latn,2.3145,2.28,Dài bằng 231.4% tiếng Anh
jpn_Jpan,2.2986,2.2692,Dài bằng 229.9% tiếng Anh
dik_Latn,2.2895,2.1429,Dài bằng 229.0% tiếng Anh
tso_Latn,2.2868,2.25,Dài bằng 228.7% tiếng Anh
plt_Latn,2.2865,2.25,Dài bằng 228.6% tiếng Anh
als_Latn,2.2759,2.2308,Dài bằng 227.6% tiếng Anh
bem_Latn,2.2591,2.2,Dài bằng 225.9% tiếng Anh
taq_Latn,2.2541,2.1667,Dài bằng 225.4% tiếng Anh
sot_Latn,2.2435,2.2174,Dài bằng 224.4% tiếng Anh
lit_Latn,2.232,2.1957,Dài bằng 223.2% tiếng Anh
kmr_Latn,2.2318,2.1923,Dài bằng 223.2% tiếng Anh
zul_Latn,2.2234,2.1961,Dài bằng 222.3% tiếng Anh
ltg_Latn,2.223,2.2,Dài bằng 222.3% tiếng Anh
som_Latn,2.2171,2.1765,Dài bằng 221.7% tiếng Anh
nso_Latn,2.2129,2.1935,Dài bằng 221.3% tiếng Anh
ayr_Latn,2.2108,2.1613,Dài bằng 221.1% tiếng Anh
szl_Latn,2.2097,2.1739,Dài bằng 221.0% tiếng Anh
kam_Latn,2.2054,2.0,Dài bằng 220.5% tiếng Anh
grn_Latn,2.2043,2.1579,Dài bằng 220.4% tiếng Anh
uzn_Latn,2.1954,2.1667,Dài bằng 219.5% tiếng Anh
ssw_Latn,2.1853,2.129,Dài bằng 218.5% tiếng Anh
fij_Latn,2.1734,2.1154,Dài bằng 217.3% tiếng Anh
isl_Latn,2.1676,2.1515,Dài bằng 216.8% tiếng Anh
sna_Latn,2.1658,2.1176,Dài bằng 216.6% tiếng Anh
hun_Latn,2.1649,2.12,Dài bằng 216.5% tiếng Anh
kin_Latn,2.1636,2.1304,Dài bằng 216.4% tiếng Anh
slk_Latn,2.1605,2.125,Dài bằng 216.1% tiếng Anh
kmb_Latn,2.1598,2.1212,Dài bằng 216.0% tiếng Anh
cym_Latn,2.1571,2.1304,Dài bằng 215.7% tiếng Anh
run_Latn,2.1566,2.125,Dài bằng 215.7% tiếng Anh
zho_Hant,2.1558,2.1111,Dài bằng 215.6% tiếng Anh
crh_Latn,2.135,2.0952,Dài bằng 213.5% tiếng Anh
ces_Latn,2.132,2.1071,Dài bằng 213.2% tiếng Anh
nya_Latn,2.12,2.0741,Dài bằng 212.0% tiếng Anh
quy_Latn,2.1196,2.0714,Dài bằng 212.0% tiếng Anh
sag_Latn,2.1101,2.0526,Dài bằng 211.0% tiếng Anh
yue_Hant,2.1007,2.0769,Dài bằng 210.1% tiếng Anh
fao_Latn,2.0913,2.0698,Dài bằng 209.1% tiếng Anh
dyu_Latn,2.0892,2.0385,Dài bằng 208.9% tiếng Anh
xho_Latn,2.0881,2.0455,Dài bằng 208.8% tiếng Anh
tgl_Latn,2.078,2.0455,Dài bằng 207.8% tiếng Anh
ilo_Latn,2.0756,2.0444,Dài bằng 207.6% tiếng Anh
tpi_Latn,2.0738,2.027,Dài bằng 207.4% tiếng Anh
lmo_Latn,2.0659,2.0385,Dài bằng 206.6% tiếng Anh
umb_Latn,2.0454,2.025,Dài bằng 204.5% tiếng Anh
hau_Latn,2.03,2.0,Dài bằng 203.0% tiếng Anh
scn_Latn,2.0295,2.0,Dài bằng 203.0% tiếng Anh
kon_Latn,2.0206,2.0,Dài bằng 202.1% tiếng Anh
fin_Latn,2.0152,2.0,Dài bằng 201.5% tiếng Anh
cjk_Latn,2.013,1.9688,Dài bằng 201.3% tiếng Anh
srd_Latn,2.0128,2.0,Dài bằng 201.3% tiếng Anh
bug_Latn,2.0102,1.9615,Dài bằng 201.0% tiếng Anh
ace_Latn,2.0091,1.9677,Dài bằng 200.9% tiếng Anh
lus_Latn,2.0053,1.9565,Dài bằng 200.5% tiếng Anh
ltz_Latn,2.0029,1.9667,Dài bằng 200.3% tiếng Anh
lij_Latn,2.0004,1.9667,Dài bằng 200.0% tiếng Anh
lug_Latn,1.989,1.9583,Dài bằng 198.9% tiếng Anh
war_Latn,1.9727,1.9412,Dài bằng 197.3% tiếng Anh
swh_Latn,1.9715,1.95,Dài bằng 197.1% tiếng Anh
lua_Latn,1.9671,1.92,Dài bằng 196.7% tiếng Anh
ceb_Latn,1.9511,1.931,Dài bằng 195.1% tiếng Anh
wol_Latn,1.9468,1.9048,Dài bằng 194.7% tiếng Anh
pol_Latn,1.943,1.9231,Dài bằng 194.3% tiếng Anh
tur_Latn,1.9398,1.9048,Dài bằng 194.0% tiếng Anh
eus_Latn,1.909,1.88,Dài bằng 190.9% tiếng Anh
slv_Latn,1.9058,1.875,Dài bằng 190.6% tiếng Anh
bos_Latn,1.895,1.8718,Dài bằng 189.5% tiếng Anh
ron_Latn,1.8944,1.8696,Dài bằng 189.4% tiếng Anh
fuv_Latn,1.8909,1.78,Dài bằng 189.1% tiếng Anh
epo_Latn,1.8877,1.8636,Dài bằng 188.8% tiếng Anh
lin_Latn,1.8873,1.8519,Dài bằng 188.7% tiếng Anh
est_Latn,1.887,1.8611,Dài bằng 188.7% tiếng Anh
zho_Hans,1.8865,1.8571,Dài bằng 188.7% tiếng Anh
fur_Latn,1.8683,1.84,Dài bằng 186.8% tiếng Anh
hrv_Latn,1.8608,1.8333,Dài bằng 186.1% tiếng Anh
luo_Latn,1.8498,1.8033,Dài bằng 185.0% tiếng Anh
oci_Latn,1.8455,1.8261,Dài bằng 184.6% tiếng Anh
sun_Latn,1.843,1.8182,Dài bằng 184.3% tiếng Anh
ban_Latn,1.8305,1.8,Dài bằng 183.1% tiếng Anh
lim_Latn,1.8171,1.7879,Dài bằng 181.7% tiếng Anh
min_Latn,1.7902,1.7667,Dài bằng 179.0% tiếng Anh
pap_Latn,1.7641,1.7429,Dài bằng 176.4% tiếng Anh
hat_Latn,1.7629,1.7273,Dài bằng 176.3% tiếng Anh
jav_Latn,1.7547,1.7353,Dài bằng 175.5% tiếng Anh
kea_Latn,1.7421,1.7143,Dài bằng 174.2% tiếng Anh
bjn_Latn,1.7317,1.7083,Dài bằng 173.2% tiếng Anh
cat_Latn,1.7265,1.7105,Dài bằng 172.6% tiếng Anh
vec_Latn,1.7174,1.6923,Dài bằng 171.7% tiếng Anh
afr_Latn,1.7035,1.6897,Dài bằng 170.4% tiếng Anh
ita_Latn,1.6581,1.6286,Dài bằng 165.8% tiếng Anh
nno_Latn,1.6577,1.625,Dài bằng 165.8% tiếng Anh
zsm_Latn,1.6409,1.6154,Dài bằng 164.1% tiếng Anh
dan_Latn,1.633,1.6129,Dài bằng 163.3% tiếng Anh
nld_Latn,1.6144,1.5909,Dài bằng 161.4% tiếng Anh
fra_Latn,1.6109,1.5833,Dài bằng 161.1% tiếng Anh
swe_Latn,1.5948,1.5769,Dài bằng 159.5% tiếng Anh
deu_Latn,1.5926,1.5652,Dài bằng 159.3% tiếng Anh
pag_Latn,1.5926,1.5686,Dài bằng 159.3% tiếng Anh
ast_Latn,1.5907,1.5625,Dài bằng 159.1% tiếng Anh
nob_Latn,1.5797,1.5556,Dài bằng 158.0% tiếng Anh
glg_Latn,1.5745,1.5588,Dài bằng 157.5% tiếng Anh
spa_Latn,1.5654,1.5385,Dài bằng 156.5% tiếng Anh
ind_Latn,1.5651,1.55,Dài bằng 156.5% tiếng Anh
por_Latn,1.4916,1.4688,Dài bằng 149.2% tiếng Anh
eng_Latn,1.0,1.0,Dài bằng 100.0% tiếng Anh
