Language,Min,Max,Mean,Median,Q1,Q3,Outliers_Count
afr_Latn,3,148,43.47,41.0,26.0,57.0,25
amh_Ethi,3,662,194.03,181.0,122.0,251.0,31
arb_Arab,5,264,82.49,77.0,50.0,109.0,16
aze_Latn,4,198,65.8,61.0,41.0,86.0,27
bak_Cyrl,8,369,104.53,97.0,66.0,137.0,27
bel_Cyrl,4,256,82.66,77.0,51.0,109.0,20
bem_Latn,4,175,54.82,52.0,34.0,71.0,26
ben_Beng,10,490,147.75,139.0,90.0,195.0,22
bod_Tibt,16,950,297.5,271.0,180.0,388.0,39
bos_Latn,2,151,48.33,45.0,30.0,64.0,29
bul_Cyrl,4,255,70.72,66.0,43.0,93.0,24
cat_Latn,4,151,43.81,41.0,27.0,58.0,21
ces_Latn,4,194,53.51,49.0,33.0,70.0,29
ckb_Arab,5,419,128.88,122.0,79.0,168.0,24
cym_Latn,4,184,54.18,52.0,34.0,70.0,28
dan_Latn,3,134,40.55,38.0,25.0,53.0,25
deu_Latn,4,144,41.03,38.0,25.0,54.0,26
div_Thaa,17,1156,284.39,268.0,178.0,371.0,20
dzo_Tibt,10,827,245.4,229.0,156.0,318.0,32
ell_Grek,8,543,131.63,124.0,80.0,174.0,19
eng-GB_Latn,2,87,26.17,25.0,16.0,34.0,31
eng-IN_Latn,2,87,26.25,25.0,16.0,34.0,29
eng-US_Latn,2,87,26.16,25.0,16.0,34.0,31
eng_Latn,2,87,26.16,25.0,16.0,34.0,31
est_Latn,4,194,47.52,44.0,29.0,62.0,29
eus_Latn,3,135,49.73,47.0,31.0,65.0,29
ewe_Latn,3,230,64.93,60.0,38.0,85.0,41
fao_Latn,4,162,52.67,49.0,32.0,69.0,25
fas_Arab,7,281,84.92,79.0,53.0,111.0,25
fij_Latn,4,166,56.72,54.0,35.0,75.0,15
fil_Latn,4,158,47.24,44.0,29.0,62.0,22
fin_Latn,4,174,51.04,47.0,31.0,68.0,20
fra-CA_Latn,4,137,40.74,38.0,25.0,53.0,37
fra_Latn,4,144,41.45,39.0,26.0,54.0,27
fuc_Latn,3,138,43.37,41.0,27.0,57.0,27
gle_Latn,5,185,59.41,55.0,37.0,78.0,33
glg_Latn,3,124,38.95,37.0,24.0,51.0,20
guj_Gujr,10,648,202.53,189.0,123.0,268.0,21
hau_Latn,3,175,51.9,48.0,31.0,68.0,29
heb_Hebr,7,351,95.93,90.0,58.0,126.0,19
hin_Deva,6,376,128.44,121.0,79.0,169.0,26
hmn_Latn,4,272,68.55,63.0,41.0,91.0,30
hrv_Latn,4,187,48.84,46.0,30.0,64.0,24
hun_Latn,4,199,57.23,53.0,34.0,77.0,16
hye_Armn,12,778,239.75,225.0,146.0,316.0,33
ibo_Latn,3,207,57.96,54.0,35.0,77.0,16
ind_Latn,3,143,41.08,39.0,26.0,54.0,23
isl_Latn,4,172,57.78,54.0,36.0,76.0,23
ita_Latn,4,143,40.79,38.0,25.0,54.0,20
jpn_Jpan,4,204,60.03,57.0,36.0,80.0,19
kan_Knda,9,780,231.23,219.0,143.0,305.0,23
kat_Geor,13,953,243.08,223.0,149.0,325.0,23
kaz_Cyrl,6,305,98.31,91.0,61.0,130.0,23
khm_Khmr,10,715,222.33,204.0,135.0,289.0,38
kin_Latn,4,203,59.12,55.0,36.0,79.0,16
kir_Cyrl,6,265,87.16,81.0,54.0,114.0,28
kmr_Latn,4,187,54.38,50.0,33.0,70.0,40
kor_Hang,5,214,64.72,61.0,40.0,84.0,22
lao_Laoo,13,861,245.24,224.0,146.0,321.0,45
lav_Latn,3,209,63.33,59.0,39.0,83.0,28
lit_Latn,4,193,59.29,55.0,37.0,77.0,31
ltz_Latn,4,197,50.01,47.0,31.0,66.0,19
mal_Mlym,10,895,247.21,231.0,151.0,326.0,31
mar_Deva,10,461,134.83,127.0,82.0,177.0,27
mey_Arab,4,275,76.39,71.0,46.0,101.0,24
mkd_Cyrl,4,237,73.59,69.0,45.0,97.0,19
mlg_Latn,3,203,60.6,57.0,36.0,80.0,18
mlt_Latn,4,245,61.3,57.0,37.0,81.0,23
mon_Mong,6,312,96.83,90.0,61.0,124.0,37
mri_Latn,5,183,59.25,55.0,37.0,78.0,23
msa_Latn,3,135,40.87,38.0,26.0,54.0,18
mya_Mymr,6,1358,297.31,273.0,189.0,386.0,36
nde_Latn,3,239,58.65,55.0,37.0,78.0,23
nep_Deva,4,440,125.08,118.0,77.0,163.0,21
nld_Latn,5,149,42.53,40.0,26.0,56.0,19
nno_Latn,4,127,40.83,38.0,25.0,54.0,21
nob_Latn,4,149,39.66,37.0,24.0,52.0,17
nso_Latn,4,173,54.02,51.0,33.0,72.0,21
nya_Latn,4,178,54.37,51.0,33.0,72.0,29
orm_Ethi,4,180,45.63,43.0,30.0,59.0,32
pan_Guru,6,613,198.04,184.0,120.0,264.0,21
pol_Latn,4,156,51.99,48.0,32.0,68.0,33
por-BR_Latn,3,116,36.8,34.0,23.0,49.0,23
por_Latn,3,134,38.57,36.0,24.0,51.0,26
prs_Arab,7,256,85.9,81.0,52.0,113.0,20
pus_Arab,7,308,103.18,98.0,63.0,136.0,23
ron_Latn,3,168,49.75,47.0,31.0,65.0,24
rus_Cyrl,4,196,65.49,61.0,40.0,86.0,24
shi_Arab,3,263,78.4,72.0,47.0,102.0,31
sin_Sinh,9,811,233.23,220.0,144.0,307.0,24
slk_Latn,5,166,53.94,50.0,33.0,71.0,23
slv_Latn,4,170,48.9,46.0,30.0,64.0,32
smo_Latn,4,183,55.3,52.0,34.0,73.0,23
sna_Latn,3,199,58.09,55.0,36.0,76.0,26
snd_Arab,5,304,103.81,98.0,65.0,136.0,24
som_Latn,4,168,56.36,53.0,35.0,74.0,29
spa-MX_Latn,3,129,38.26,36.0,23.0,50.0,27
spa_Latn,1,123,38.24,36.0,23.0,51.0,16
sqi_Latn,4,185,57.22,53.0,35.0,75.0,27
srp_Cyrl,4,270,80.43,75.0,48.0,106.0,25
srp_Latn,4,164,49.3,47.0,31.0,64.0,31
ssw_Latn,3,175,56.62,53.0,35.0,75.0,16
swa_Latn,4,158,51.13,48.0,31.0,68.0,14
swe_Latn,4,125,40.02,37.0,25.0,53.0,24
tah_Latn,5,203,61.98,58.0,39.0,81.0,25
